icao,name,city,state,country,lat,lon,timezone_id,mississippi_direction
KCFV,Coffeyville Muni,Coffeyville,KS,US,37.094,-95.572,America/Chicago,WEST
KCGC,Crystal River-Capt Tom Davis Fld,Crystal River,FL,US,28.8676111,-82.5741111,America/New_York,EAST
KCGE,Cambridge-Dorchester Rgnl,Cambridge,MD,US,38.5393214,-76.0303953,America/New_York,EAST
KCGF,Cuyahoga County,Cleveland,OH,US,41.5645833,-81.4872222,America/New_York,EAST
KCGI,Cape Girardeau Rgnl,Cape Girardeau,MO,US,37.2253153,-89.5707594,America/Chicago,WEST
KCGS,College Park,College Park,MD,US,38.9805833,-76.9223056,America/New_York,EAST
KCGZ,Casa Grande Muni,Casa Grande,AZ,US,32.9548981,-111.76682,America/Phoenix,WEST
KCHA,Lovell Fld,Chattanooga,TN,US,35.0351944,-85.2035556,America/New_York,EAST
KCHD,Chandler Muni,Chandler,AZ,US,33.2690961,-111.8111211,America/Phoenix,WEST
KCHK,Chickasha Muni,Chickasha,OK,US,35.0971404,-97.9676805,America/Chicago,WEST
KCHN,Wauchula Muni,Wauchula,FL,US,27.5149167,-81.8804722,America/New_York,EAST
KCHO,Charlottesville-Albemarle,Charlottesville,VA,US,38.1396428,-78.4523442,America/New_York,EAST
KCHQ,Mississippi County,Charleston,MO,US,36.8421372,-89.3596578,America/Chicago,WEST
KCHS,Charleston Intl/AFB,Charleston,SC,US,32.8986389,-80.0405278,America/New_York,EAST
KCHT,Chillicothe Muni,Chillicothe,MO,US,39.7820154,-93.4962361,America/Chicago,WEST
KCHU,Houston County,Caledonia,MN,US,43.5963586,-91.5039464,America/Chicago,WEST
KCIC,Chico Rgnl,Chico,CA,US,39.7953889,-121.8584167,America/Los_Angeles,WEST
KCID,The Eastern Iowa,Cedar Rapids,IA,US,41.8846944,-91.7108056,America/Chicago,WEST
KCII,Choteau,Choteau,MT,US,47.8283478,-112.1683358,America/Denver,WEST
KCIN,Arthur N Neu,Carroll,IA,US,42.0466667,-94.7886944,America/Chicago,WEST
KCIR,Cairo Rgnl,Cairo,IL,US,37.0641389,-89.2195278,America/Chicago,EAST
KCIU,Chippewa County Intl,Sault Ste Marie,MI,US,46.2507517,-84.4723842,America/Detroit,EAST
KCJJ,Ellen Church Fld,Cresco,IA,US,43.3653014,-92.1330831,America/Chicago,WEST
KCJR,Culpeper Rgnl,Culpeper,VA,US,38.5254722,-77.8596389,America/New_York,EAST
KCKB,North Central West Virginia,Clarksburg,WV,US,39.2976547,-80.2275319,America/New_York,EAST
KCKC,Grand Marais/Cook County,Grand Marais,MN,US,47.8384317,-90.3845781,America/Chicago,EAST
KCKF,Crisp County-Cordele,Cordele,GA,US,31.988845,-83.7739047,America/New_York,EAST
KCKI,Williamsburg Rgnl,Kingstree,SC,US,33.7172222,-79.8569722,America/New_York,EAST
KCKM,Fletcher Fld,Clarksdale,MS,US,34.2997222,-90.5123056,America/Chicago,EAST
KCKN,Crookston Municipal,Crookston,MN,US,47.8416572,-96.6214536,America/Chicago,WEST
KCKP,Cherokee County Rgnl,Cherokee,IA,US,42.7313889,-95.5560556,America/Chicago,WEST
KCKV,Outlaw Fld,Clarksville,TN,US,36.6218611,-87.4149444,America/Chicago,EAST
KCKZ,Pennridge,Perkasie,PA,US,40.3891944,-75.2904722,America/New_York,EAST
KCLE,Cleveland-Hopkins Intl,Cleveland,OH,US,41.4094069,-81.8546911,America/New_York,EAST
KCLI,Clintonville Muni,Clintonville,WI,US,44.6131667,-88.7308889,America/Chicago,EAST
KCLK,Clinton Rgnl,Clinton,OK,US,35.5382726,-98.9327886,America/Chicago,WEST
KCLL,Easterwood Fld,College Station,TX,US,30.5880419,-96.3625444,America/Chicago,WEST
KCLM,William R Fairchild Intl,Port Angeles,WA,US,48.1201944,-123.4996944,America/Los_Angeles,WEST
KCLR,Cliff Hatfield Meml,Calipatria,CA,US,33.1313333,-115.5213889,America/Los_Angeles,WEST
KCLS,Chehalis-Centralia,Chehalis,WA,US,46.6770278,-122.98275,America/Los_Angeles,WEST
KCLT,Charlotte/Douglas Intl,Charlotte,NC,US,35.21375,-80.9490556,America/New_York,EAST
KCLW,Clearwater Air Park,Clearwater,FL,US,27.9772139,-82.7590569,America/New_York,EAST
KCMA,Camarillo,Camarillo,CA,US,34.2137583,-119.0943542,America/Los_Angeles,WEST
KCMD,Cullman Rgnl/Folsom Fld,Cullman,AL,US,34.2687025,-86.8580353,America/Chicago,EAST
KCMH,John Glenn Columbus Intl Airport,Columbus,OH,US,39.9969467,-82.8921592,America/New_York,EAST
KCMI,Univ of IL - Willard,Champaign/Urbana,IL,US,40.0385608,-88.2765392,America/Chicago,EAST
KCMR,H a Clark Meml Fld,Williams,AZ,US,35.3054936,-112.1943478,America/Phoenix,WEST
KCMX,Houghton County Meml,Hancock,MI,US,47.1684169,-88.4890694,America/Detroit,EAST
KCMY,Sparta/Fort Mc Coy,Sparta,WI,US,43.9587161,-90.7378414,America/Chicago,EAST
KCNB,Myers Fld,Canby,MN,US,44.7295,-96.2660278,America/Chicago,WEST
KCNC,Chariton Muni,Chariton,IA,US,41.0196111,-93.3596667,America/Chicago,WEST
KCNH,Claremont Muni,Claremont,NH,US,43.3705043,-72.3682074,America/New_York,EAST
KCNI,Cherokee County Rgnl,Canton,GA,US,34.3122192,-84.4221528,America/New_York,EAST
